Dirección;Región;Comuna;Latitud;Longitud;Potencia (en kW) Electrolinera;Tipo corriente;Potencia (en kW) cargador;Numero de cargadores
av. pedro fontova 6789;metropolitana;Huechuraba;-33.36017;-70.66956;43,56;AC;22;2
av. plaza n/a;metropolitana;Las Condes;-33.3927;-70.50372;48;AC;22;2
av. presidente jorge alessandri 20040;metropolitana;San Bernardo;-33.6317;-70.7104;7,4;AC;7,4;2
av. presidente kennedy lateral 5055;metropolitana;Las Condes;-33.40249;-70.58085;14;AC;7;2
av. principe de gales 9200;metropolitana;La Reina;-33.44154;-70.53489;70;DC;60;3
av. principe de gales con aguas claras s/n;metropolitana;La Reina;-33.43937;-70.55639;22;AC;7,4;4
av. quilin frente al 3250;metropolitana;Macul;-33.48513;-70.59783;43,56;AC;21,78;2
av. sanchez fontecilla 8968;metropolitana;La Florida;-33.53467;-70.55362;24;DC;24;2
av. vicuna mackenna 8153;metropolitana;La Florida;-33.52875;-70.59615;7,4;AC;7,4;2
av. vitacura 6980;metropolitana;Vitacura;-33.38675;-70.56556;70;DC;60;4
av. vitacura 9019;metropolitana;Vitacura;-33.38374;-70.54946;70;DC;60;4
avda tobalaba 12150;metropolitana;Penalolén;-33.48649;-70.55887;22;AC;22;3
"avda. libertador bernardo o""higgins frente al 4620";metropolitana;Estación Central;-33.45627;-70.69906;44;AC;22;2
avda. los pajaritos s/n 000;metropolitana;Maipú;-33.49224;-70.75532;43,56;AC;21,78;2
avda.gran avenida jose miguel carrera 8925;metropolitana;La Cisterna;-33.53895;-70.66506;70;DC;60;2
avenida americo vespucio 1737;metropolitana;Huechuraba;-33.36669;-70.6788;7,4;AC;7,4;4
avenida americo vespucio sur 345;metropolitana;Las Condes;-33.41832;-70.58336;7,4;AC;7,4;2
avenida apoquindo 5680;metropolitana;Las Condes;-33.40941;-70.57111;22;AC;22;2
avenida camilo henriquez 3692;metropolitana;Puente Alto;-33.56926;-70.55583;7,4;AC;7,4;2
avenida costanera ferrea frente al 0495;metropolitana;Quilicura;-33.35561;-70.71316;43,56;AC;21,78;2
avenida el rodeo 12850;metropolitana;Lo Barnechea;-33.35227;-70.52073;70;DC;30;2
avenida el salto 5000;metropolitana;Huechuraba;-33.38515;-70.62257;6,6;AC;6,6;2
avenida francisco bilbao 1439;metropolitana;Providencia;-33.43934;-70.61451;7;AC;7;1
avenida independencia 397;metropolitana;Independencia;-33.42653;-70.6542;7,4;AC;7,4;2
avenida irarrazaval 2928;metropolitana;Nunoa;-33.45432;-70.60044;24;DC;24;2
avenida las condes 10462;metropolitana;Las Condes;-33.38263;-70.5334;7,4;AC;7,4;2
avenida las condes 12916;metropolitana;Lo Barnechea;-33.36968;-70.51218;24;DC;24;4
avenida las condes 13451;metropolitana;Las Condes;-33.37041;-70.50717;6,6;AC;6,6;4
avenida las condes 9595;metropolitana;Las Condes;-33.38842;-70.53921;22;AC;22;3
avenida libertador bernardo ohiggins 816;metropolitana;Santiago;-33.44379;-70.64849;7,7;AC;7,7;2
avenida libertador bernardo o´higgins 3470;metropolitana;Estación Central;-33.45273;-70.68224;7,4;AC;7,4;2
avenida los pajaritos 1780;metropolitana;Maipú;-33.51088;-70.75785;70;DC;60;2
avenida padre hurtado sur 1621;metropolitana;Las Condes;-33.42325;-70.53849;70;DC;60;2
avenida presidente errazuriz s/n;metropolitana;Las Condes;-33.41885;-70.5837;45;AC;22;2
avenida presidente jorge alessandri 26517;metropolitana;San Bernardo;-33.68606;-70.72606;98;AC;43;3
avenida presidente riesco s/n;metropolitana;Las Condes;-33.40137;-70.56781;45;AC;22;4
avenida providencia 1909;metropolitana;Providencia;-33.42508;-70.61364;7;AC;7;3
avenida providencia 2001;metropolitana;Providencia;-33.42361;-70.61207;7;AC;7;3
avenida providencia 2099;metropolitana;Providencia;-33.4213;-70.60905;7;AC;7;3
avenida providencia 2203;metropolitana;Providencia;-33.42187;-70.6098;7;AC;7;3
avenida raul labbe 12931;metropolitana;Lo Barnechea;-33.36654;-70.51665;7,4;AC;7,4;2
avenida ricardo lyon 25;metropolitana;Providencia;-33.42198;-70.60989;22;AC;22;3
avenida ricardo lyon 322;metropolitana;Providencia;-33.4246;-70.6085;22;AC;22;2
avenida santa maria 1742;metropolitana;Providencia;-33.4219;-70.62115;22;AC;22;2
avenida vicuna mackena 885;metropolitana;Santiago;-33.45304;-70.6308;70;DC;60;3
avenida vitacura 2610;metropolitana;Las Condes;-33.41649;-70.60496;7,4;AC;7,4;2
avenida vitacura 2885;metropolitana;Las Condes;-33.41251;-70.60296;7,7;AC;7,7;2
aviador bleriot frente a 2215;metropolitana;Quinta Normal;-33.42286;-70.69296;43,56;AC;21,78;2
bicentenario 3800;metropolitana;Vitacura;-33.39938;-70.60154;14;AC;7;8
buenaventura 1770;metropolitana;Vitacura;-33.38677;-70.56821;24;DC;24;2
calle nueva 1660;metropolitana;Huechuraba;-33.36243;-70.6777;22;AC;22;2
camilo henriquez 4583;metropolitana;Puente Alto;-33.55784;-70.55931;43,56;AC;22;2
camino a melipilla 11585;metropolitana;Maipú;-33.52354;-70.75063;22;AC;22;3
camino la farfana 390;metropolitana;Pudahule;-33.45543;-70.80337;22;AC;22;1
camino los trapenses 3385;metropolitana;Lo Barnechea;-33.34485;-70.54589;50;DC;50;3
camino los trapenses 3515;metropolitana;Lo Barnechea;-33.34331;-70.54444;44;AC;22;2
camino melipilla 17800;metropolitana;Maipú;-33.54954;-70.78875;7,4;AC;7,4;2
cardenal jose maria caro 870;metropolitana;Santiago;-33.43371;-70.6484;7,4;AC;7,4;3
catedral 1850;metropolitana;Santiago;-33.4389;-70.66323;70;DC;50;4
cerro colorado s/n;metropolitana;Las Condes;-33.40423;-70.58;45;AC;22;2
cerro el plomo 5931;metropolitana;Las Condes;-33.40446;-70.5705;7,4;AC;7,4;8
chicureo 99;metropolitana;Colina;-33.28431;-70.68088;7,4;AC;7,4;1
colina sur 14600;metropolitana;Colina;-33.27782;-70.6278;70;DC;30;2
colon 4333;metropolitana;Las Condes;-33.42377;-70.58047;55;DC;50;3
comandante malbec 12851;metropolitana;Lo Barnechea;-33.35971;-70.51527;22;AC;22;2
costanera norte km 2,5 e-0 s/n;metropolitana;Vitacura;-33.37513;-70.53187;175;DC;175;4
costanera norte km 34;metropolitana;Pudahuel;-33.43393;-70.81048;50;DC;50;3
costanera norte km 8 (direccion oriente);metropolitana;Vitacura;-33.3821;-70.59316;50;DC;50;3
cristobal colon 7550;metropolitana;Las Condes;-33.41754;-70.55222;70;DC;50;5
del parque 4023;metropolitana;Huechuraba;-33.39402;-70.62063;7,4;AC;7,4;2
del parque 4980;metropolitana;Huechuraba;-33.3889;-70.61664;22;AC;22;1
diagonal las torres 2700;metropolitana;Penalolén;-33.49013;-70.51898;44;AC;22;2
ecuador 5140;metropolitana;Estación Central;-33.45606;-70.70501;70;DC;60;2
el alcalde 15;metropolitana;Las Condes;-33.4159;-70.59524;22;AC;22;2
enrique foster 21;metropolitana;Las Condes;-33.41556;-70.59412;7;AC;7;2
enrique kirberg frente al 4;metropolitana;Estación Central;-33.45024;-70.68283;44;AC;22;2
enrique mac iver #424;metropolitana;Santiago;-33.4378;-70.64747;22;AC;22;1
enrique soros 1070;metropolitana;Independencia;-33.41796;-70.67166;44;AC;22;2
estados unidos 1365;metropolitana;Cerro Navia;-33.43004;-70.73747;44;AC;22;2
general korner frente a 286;metropolitana;El Bosque;-33.55054;-70.67642;43,56;AC;21,78;2
goycolea 100;metropolitana;La Cisterna;-33.54033;-70.6637;22;AC;22;1
gran av. jose miguel carrera 6150;metropolitana;San Miguel;-33.51185;-70.65681;70;DC;60;2
guardia vieja 285;metropolitana;Providencia;-33.4249;-70.6098;22;AC;22;2
ignacio carrera pinto frente 1066;metropolitana;Lampa;-33.28663;-70.87213;43,56;AC;21,78;2
independencia 565;metropolitana;Independencia;-33.42463;-70.65481;14;AC;7;2
isidora goyenechea 2939;metropolitana;Las Condes;-33.41422;-70.60025;3,5;AC;3,5;4
javiera carrera al oriente del 910;metropolitana;El Bosque;-33.55718;-70.6648;43,56;AC;21,78;2
jean mermoz 2101;metropolitana;Pudahuel;-33.39934;-70.79489;22;AC;22;6
jose alcalde delano 10492;metropolitana;Lo Barnechea;-33.35645;-70.53946;44;AC;22;2
juan de austria n/a;metropolitana;Las Condes;-33.43089;-70.57912;48;AC;22;2
kennedy 4601;metropolitana;Las Condes;-33.40395;-70.58281;44;AC;22;2
la castellana sur s/n;metropolitana;Las Condes;-33.41191;-70.57688;45;AC;22;2
los ediles 747;metropolitana;Pudahuel;-33.44625;-70.74481;44;AC;22;2
los militares 4611;metropolitana;Las Condes;-33.41278;-70.58235;22;AC;22;2
los militares 4661;metropolitana;Las Condes;-33.4121;-70.58118;7;AC;7;2
los platanos frente a 3130;metropolitana;Macul;-33.48225;-70.5995;43,56;AC;21,78;2
luis pasteur 6725;metropolitana;Vitacura;-33.37999;-70.56953;22;AC;22;3
mar de los sargazos s/n;metropolitana;Las Condes;-33.41039;-70.56998;45;AC;22;2
miguel claro 275;metropolitana;Providencia;-33.43204;-70.62044;7,4;AC;7,4;2
moneda #1326, esquina teatinos;metropolitana;Santiago;-33.44228;-70.6549;44;AC;22;2
nataniel cox 620;metropolitana;Santiago;-33.45378;-70.65204;70;DC;60;4
pajaritos 2872;metropolitana;Maipú;-33.50085;-70.7576;44;AC;22;2
parque central 21;metropolitana;Maipú;-33.55456;-70.79538;22;AC;22;3
pasaje dallas frente a 266;metropolitana;Quilicura;-33.36854;-70.72389;43,56;AC;21,78;2
paseo bulnes 141;metropolitana;Santiago;-33.44743;-70.6533;7;AC;7;6
paseo pie andino 5885;metropolitana;Lo Barnechea;-33.32395;-70.53919;22;DC;22;2
patagonia 75;metropolitana;Las Condes;-33.40918;-70.54478;50;DC;50;3
pedro de valdivia norte 699;metropolitana;Providencia;-33.41533;-70.61739;44;AC;22;2
pio nono 450 p2;metropolitana;Recoleta;-33.41383;-70.6208;44;AC;22;4
poeta augusto winter frente 3941;metropolitana;Macul;-33.49003;-70.59367;43,56;AC;21,78;2
presidente errazuriz n/a;metropolitana;Las Condes;-33.42129;-70.5953;48;AC;22;4
presidente kennedy 5413;metropolitana;Las Condes;-33.4018;-70.57972;14;AC;7;2
presidente kennedy 5601;metropolitana;Las Condes;-33.40118;-70.57539;14;AC;7;6
presidente kennedy 5741;metropolitana;Las Condes;-33.39999;-70.57428;22;AC;22;1
presidente riesco 5330;metropolitana;Las Condes;-33.39742;-70.55966;7;AC;7;18
presidente riesco con rosario norte (av. pdte. riesco #5810);metropolitana;Las Condes;-33.40388;-70.57396;44;AC;44;2
primera transversal frente 1970;metropolitana;Maipú;-33.50926;-70.75314;43,56;AC;21,78;2
principe de gales 6803;metropolitana;La Reina;-33.43876;-70.56181;7,4;AC;7,4;1
principe de gales 9140;metropolitana;La Reina;-33.44127;-70.53553;24;DC;24;4
profesor zanartu 1130;metropolitana;Independencia;-33.41782;-70.65446;44;AC;22;2
puerto madero 9710;metropolitana;Pudahuel;-33.45277;-70.78616;44;AC;22;2
radal frente a 1693;metropolitana;Quinta Normal;-33.4275;-70.70347;43,56;AC;21,78;2
rolando petersen s/n;metropolitana;Cerro Navia;-33.41348;-70.74713;44;AC;22;2
rosario norte 530;metropolitana;Las Condes;-33.40513;-70.57304;22;AC;22;3
ruta 5 norte km 27.5 s/n;metropolitana;Colina;-33.21605;-70.76698;72;AC;43;3
ruta 5 norte km.26 poniente 000;metropolitana;Lampa;-33.23692;-70.75872;55;AC;43;3
ruta 5 sur km 16.4 s/n;metropolitana;San Bernardo;-33.58058;-70.71387;94;AC;43;6
ruta 68 18501;metropolitana;Pudahuel;-33.43693;-70.83869;44;AC;22;2
ruta 68 sur km 18.5;metropolitana;Pudahuel;-33.4398;-70.84116;50;DC;50;3
san carlos de apoquindo 2300;metropolitana;Las Condes;-33.40417;-70.50836;44;AC;22;2
san eugenio 1602;metropolitana;Nunoa;-33.46699;-70.62305;21,78;AC;11;2
san ignacio frente al 951;metropolitana;Quilicura;-33.33225;-70.70984;43,56;AC;21,78;2
san isiidro 85;metropolitana;Santiago;-33.44436;-70.64454;98;AC;43;3
san pablo 8444;metropolitana;Pudahuel;-33.44567;-70.74401;44;AC;22;1
san ramon 2701;metropolitana;Las Condes;-33.40754;-70.51114;21,78;AC;11;2
santa isabel 168;metropolitana;Providencia;-33.44679;-70.62932;24;DC;24;4
santa maria 5870;metropolitana;Vitacura;-33.38042;-70.5857;14;AC;7;2
santa maria 5888;metropolitana;Vitacura;-33.37966;-70.58436;14;AC;7;2
santa rosa 76;metropolitana;Santiago;-33.44476;-70.64557;7;AC;7;3
uno sur frente a 0151;metropolitana;San José de Maipo;-33.64081;-70.35401;43,56;AC;21,78;2
valdivieso frente al 555;metropolitana;Recoleta;-33.41387;-70.64208;44;AC;22;2
victoria subercaseaux 400;metropolitana;Santiago;-33.43821;-70.64277;7;AC;7;3
vicuna mackenna 4860;metropolitana;Macul;-33.49726;-70.61032;7,4;AC;7,4;4
vicu¿a mackenna 4917;metropolitana;San Joaquín;-33.50026;-70.61647;22;AC;22;2
vitacura 3350;metropolitana;Vitacura;-33.40552;-70.59834;50;DC;50;3
