Dirección;Región;Comuna;Latitud;Longitud;Potencia (en kW) Electrolinera;Tipo corriente;Potencia (en kW) cargador;Numero de cargadores
av. pedro aguirre cerda con felix margoz s/n;metropolitana;Cerrillos;-3.349.439;-7.070.549;22;AC;7,4;4
av. pedro fontova 6789;metropolitana;Huechuraba;-3.336.017;-7.066.956;43,56;AC;22;2
av. plaza n/a;metropolitana;Las Condes;-333.927;-7.050.372;48;AC;22;2
av. presidente jorge alessandri 20040;metropolitana;San Bernardo;-336.317;-707.104;7,4;AC;7,4;2
av. presidente kennedy lateral 5055;metropolitana;Las Condes;-3.340.249;-7.058.085;14;AC;7;2
av. principe de gales 9200;metropolitana;La Reina;-3.344.154;-7.053.489;70;DC;60;3
av. principe de gales con aguas claras s/n;metropolitana;La Reina;-3.343.937;-7.055.639;22;AC;7,4;4
av. quilin frente al 3250;metropolitana;Macul;-3.348.513;-7.059.783;43,56;AC;21,78;2
av. sanchez fontecilla 8968;metropolitana;La Florida;-3.353.467;-7.055.362;24;DC;24;2
av. vicuna mackenna 8153;metropolitana;La Florida;-3.352.875;-7.059.615;7,4;AC;7,4;2
av. vitacura 6980;metropolitana;Vitacura;-3.338.675;-7.056.556;70;DC;60;4
av. vitacura 9019;metropolitana;Vitacura;-3.338.374;-7.054.946;70;DC;60;4
avda tobalaba 12150;metropolitana;Penalolén;-3.348.649;-7.055.887;22;AC;22;3
"avda. libertador bernardo o""higgins frente al 4620";metropolitana;Estación Central;-3.345.627;-7.069.906;44;AC;22;2
avda. los pajaritos s/n 000;metropolitana;Maipú;-3.349.224;-7.075.532;43,56;AC;21,78;2
avda.gran avenida jose miguel carrera 8925;metropolitana;La Cisterna;-3.353.895;-7.066.506;70;DC;60;2
avenida americo vespucio 1737;metropolitana;Huechuraba;-3.336.669;-706.788;7,4;AC;7,4;4
avenida americo vespucio sur 345;metropolitana;Las Condes;-3.341.832;-7.058.336;7,4;AC;7,4;2
avenida apoquindo 5680;metropolitana;Las Condes;-3.340.941;-7.057.111;22;AC;22;2
avenida camilo henriquez 3692;metropolitana;Puente Alto;-3.356.926;-7.055.583;7,4;AC;7,4;2
avenida costanera ferrea frente al 0495;metropolitana;Quilicura;-3.335.561;-7.071.316;43,56;AC;21,78;2
avenida el rodeo 12850;metropolitana;Lo Barnechea;-3.335.227;-7.052.073;70;DC;30;2
avenida el salto 5000;metropolitana;Huechuraba;-3.338.515;-7.062.257;6,6;AC;6,6;2
avenida francisco bilbao 1439;metropolitana;Providencia;-3.343.934;-7.061.451;7;AC;7;1
avenida independencia 397;metropolitana;Independencia;-3.342.653;-706.542;7,4;AC;7,4;2
avenida irarrazaval 2928;metropolitana;Nunoa;-3.345.432;-7.060.044;24;DC;24;2
avenida las condes 10462;metropolitana;Las Condes;-3.338.263;-705.334;7,4;AC;7,4;2
avenida las condes 12916;metropolitana;Lo Barnechea;-3.336.968;-7.051.218;24;DC;24;4
avenida las condes 13451;metropolitana;Las Condes;-3.337.041;-7.050.717;6,6;AC;6,6;4
avenida las condes 9595;metropolitana;Las Condes;-3.338.842;-7.053.921;22;AC;22;3
avenida libertador bernardo ohiggins 816;metropolitana;Santiago;-3.344.379;-7.064.849;7,7;AC;7,7;2
avenida libertador bernardo o´higgins 3470;metropolitana;Estación Central;-3.345.273;-7.068.224;7,4;AC;7,4;2
avenida los pajaritos 1780;metropolitana;Maipú;-3.351.088;-7.075.785;70;DC;60;2
avenida padre hurtado sur 1621;metropolitana;Las Condes;-3.342.325;-7.053.849;70;DC;60;2
avenida presidente errazuriz s/n;metropolitana;Las Condes;-3.341.885;-705.837;45;AC;22;2
avenida presidente jorge alessandri 26517;metropolitana;San Bernardo;-3.368.606;-7.072.606;98;AC;43;3
avenida presidente riesco s/n;metropolitana;Las Condes;-3.340.137;-7.056.781;45;AC;22;4
avenida providencia 1909;metropolitana;Providencia;-3.342.508;-7.061.364;7;AC;7;3
avenida providencia 2001;metropolitana;Providencia;-3.342.361;-7.061.207;7;AC;7;3
avenida providencia 2099;metropolitana;Providencia;-334.213;-7.060.905;7;AC;7;3
avenida providencia 2203;metropolitana;Providencia;-3.342.187;-706.098;7;AC;7;3
avenida raul labbe 12931;metropolitana;Lo Barnechea;-3.336.654;-7.051.665;7,4;AC;7,4;2
avenida ricardo lyon 25;metropolitana;Providencia;-3.342.198;-7.060.989;22;AC;22;3
avenida ricardo lyon 322;metropolitana;Providencia;-334.246;-706.085;22;AC;22;2
avenida santa maria 1742;metropolitana;Providencia;-334.219;-7.062.115;22;AC;22;2
avenida vicuna mackena 885;metropolitana;Santiago;-3.345.304;-706.308;70;DC;60;3
avenida vitacura 2610;metropolitana;Las Condes;-3.341.649;-7.060.496;7,4;AC;7,4;2
avenida vitacura 2885;metropolitana;Las Condes;-3.341.251;-7.060.296;7,7;AC;7,7;2
aviador bleriot frente a 2215;metropolitana;Quinta Normal;-3.342.286;-7.069.296;43,56;AC;21,78;2
bicentenario 3800;metropolitana;Vitacura;-3.339.938;-7.060.154;14;AC;7;8
buenaventura 1770;metropolitana;Vitacura;-3.338.677;-7.056.821;24;DC;24;2
calle nueva 1660;metropolitana;Huechuraba;-3.336.243;-706.777;22;AC;22;2
camilo henriquez 4583;metropolitana;Puente Alto;-3.355.784;-7.055.931;43,56;AC;22;2
camino a melipilla 11585;metropolitana;Maipú;-3.352.354;-7.075.063;22;AC;22;3
camino la farfana 390;metropolitana;Pudahule;-3.345.543;-7.080.337;22;AC;22;1
camino los trapenses 3385;metropolitana;Lo Barnechea;-3.334.485;-7.054.589;50;DC;50;3
camino los trapenses 3515;metropolitana;Lo Barnechea;-3.334.331;-7.054.444;44;AC;22;2
camino melipilla 17800;metropolitana;Maipú;-3.354.954;-7.078.875;7,4;AC;7,4;2
cardenal jose maria caro 870;metropolitana;Santiago;-3.343.371;-706.484;7,4;AC;7,4;3
catedral 1850;metropolitana;Santiago;-334.389;-7.066.323;70;DC;50;4
cerro colorado s/n;metropolitana;Las Condes;-3.340.423;-70,58;45;AC;22;2
cerro el plomo 5931;metropolitana;Las Condes;-3.340.446;-705.705;7,4;AC;7,4;8
chicureo 99;metropolitana;Colina;-3.328.431;-7.068.088;7,4;AC;7,4;1
colina sur 14600;metropolitana;Colina;-3.327.782;-706.278;70;DC;30;2
colon 4333;metropolitana;Las Condes;-3.342.377;-7.058.047;55;DC;50;3
comandante malbec 12851;metropolitana;Lo Barnechea;-3.335.971;-7.051.527;22;AC;22;2
costanera norte km 2,5 e-0 s/n;metropolitana;Vitacura;-3.337.513;-7.053.187;175;DC;175;4
costanera norte km 34;metropolitana;Pudahuel;-3.343.393;-7.081.048;50;DC;50;3
costanera norte km 8 (direccion oriente);metropolitana;Vitacura;-333.821;-7.059.316;50;DC;50;3
cristobal colon 7550;metropolitana;Las Condes;-3.341.754;-7.055.222;70;DC;50;5
del parque 4023;metropolitana;Huechuraba;-3.339.402;-7.062.063;7,4;AC;7,4;2
del parque 4980;metropolitana;Huechuraba;-333.889;-7.061.664;22;AC;22;1
diagonal las torres 2700;metropolitana;Penalolén;-3.349.013;-7.051.898;44;AC;22;2
ecuador 5140;metropolitana;Estación Central;-3.345.606;-7.070.501;70;DC;60;2
el alcalde 15;metropolitana;Las Condes;-334.159;-7.059.524;22;AC;22;2
enrique foster 21;metropolitana;Las Condes;-3.341.556;-7.059.412;7;AC;7;2
enrique kirberg frente al 4;metropolitana;Estación Central;-3.345.024;-7.068.283;44;AC;22;2
enrique mac iver #424;metropolitana;Santiago;-334.378;-7.064.747;22;AC;22;1
enrique soros 1070;metropolitana;Independencia;-3.341.796;-7.067.166;44;AC;22;2
estados unidos 1365;metropolitana;Cerro Navia;-3.343.004;-7.073.747;44;AC;22;2
general korner frente a 286;metropolitana;El Bosque;-3.355.054;-7.067.642;43,56;AC;21,78;2
goycolea 100;metropolitana;La Cisterna;-3.354.033;-706.637;22;AC;22;1
gran av. jose miguel carrera 6150;metropolitana;San Miguel;-3.351.185;-7.065.681;70;DC;60;2
guardia vieja 285;metropolitana;Providencia;-334.249;-706.098;22;AC;22;2
ignacio carrera pinto frente 1066;metropolitana;Lampa;-3.328.663;-7.087.213;43,56;AC;21,78;2
independencia 565;metropolitana;Independencia;-3.342.463;-7.065.481;14;AC;7;2
isidora goyenechea 2939;metropolitana;Las Condes;-3.341.422;-7.060.025;3,5;AC;3,5;4
javiera carrera al oriente del 910;metropolitana;El Bosque;-3.355.718;-706.648;43,56;AC;21,78;2
jean mermoz 2101;metropolitana;Pudahuel;-3.339.934;-7.079.489;22;AC;22;6
jose alcalde delano 10492;metropolitana;Lo Barnechea;-3.335.645;-7.053.946;44;AC;22;2
juan de austria n/a;metropolitana;Las Condes;-3.343.089;-7.057.912;48;AC;22;2
kennedy 4601;metropolitana;Las Condes;-3.340.395;-7.058.281;44;AC;22;2
la castellana sur s/n;metropolitana;Las Condes;-3.341.191;-7.057.688;45;AC;22;2
los ediles 747;metropolitana;Pudahuel;-3.344.625;-7.074.481;44;AC;22;2
los militares 4611;metropolitana;Las Condes;-3.341.278;-7.058.235;22;AC;22;2
los militares 4661;metropolitana;Las Condes;-334.121;-7.058.118;7;AC;7;2
los platanos frente a 3130;metropolitana;Macul;-3.348.225;-705.995;43,56;AC;21,78;2
luis pasteur 6725;metropolitana;Vitacura;-3.337.999;-7.056.953;22;AC;22;3
mar de los sargazos s/n;metropolitana;Las Condes;-3.341.039;-7.056.998;45;AC;22;2
miguel claro 275;metropolitana;Providencia;-3.343.204;-7.062.044;7,4;AC;7,4;2
moneda #1326, esquina teatinos;metropolitana;Santiago;-3.344.228;-706.549;44;AC;22;2
nataniel cox 620;metropolitana;Santiago;-3.345.378;-7.065.204;70;DC;60;4
pajaritos 2872;metropolitana;Maipú;-3.350.085;-707.576;44;AC;22;2
parque central 21;metropolitana;Maipú;-3.355.456;-7.079.538;22;AC;22;3
pasaje dallas frente a 266;metropolitana;Quilicura;-3.336.854;-7.072.389;43,56;AC;21,78;2
paseo bulnes 141;metropolitana;Santiago;-3.344.743;-706.533;7;AC;7;6
paseo pie andino 5885;metropolitana;Lo Barnechea;-3.332.395;-7.053.919;22;DC;22;2
patagonia 75;metropolitana;Las Condes;-3.340.918;-7.054.478;50;DC;50;3
pedro de valdivia norte 699;metropolitana;Providencia;-3.341.533;-7.061.739;44;AC;22;2
pio nono 450 p2;metropolitana;Recoleta;-3.341.383;-706.208;44;AC;22;4
poeta augusto winter frente 3941;metropolitana;Macul;-3.349.003;-7.059.367;43,56;AC;21,78;2
presidente errazuriz n/a;metropolitana;Las Condes;-3.342.129;-705.953;48;AC;22;4
presidente kennedy 5413;metropolitana;Las Condes;-334.018;-7.057.972;14;AC;7;2
presidente kennedy 5601;metropolitana;Las Condes;-3.340.118;-7.057.539;14;AC;7;6
presidente kennedy 5741;metropolitana;Las Condes;-3.339.999;-7.057.428;22;AC;22;1
presidente riesco 5330;metropolitana;Las Condes;-3.339.742;-7.055.966;7;AC;7;18
presidente riesco con rosario norte (av. pdte. riesco #5810);metropolitana;Las Condes;-3.340.388;-7.057.396;44;AC;44;2
primera transversal frente 1970;metropolitana;Maipú;-3.350.926;-7.075.314;43,56;AC;21,78;2
principe de gales 6803;metropolitana;La Reina;-3.343.876;-7.056.181;7,4;AC;7,4;1
principe de gales 9140;metropolitana;La Reina;-3.344.127;-7.053.553;24;DC;24;4
profesor zanartu 1130;metropolitana;Independencia;-3.341.782;-7.065.446;44;AC;22;2
puerto madero 9710;metropolitana;Pudahuel;-3.345.277;-7.078.616;44;AC;22;2
radal frente a 1693;metropolitana;Quinta Normal;-334.275;-7.070.347;43,56;AC;21,78;2
rolando petersen s/n;metropolitana;Cerro Navia;-3.341.348;-7.074.713;44;AC;22;2
rosario norte 530;metropolitana;Las Condes;-3.340.513;-7.057.304;22;AC;22;3
ruta 5 norte km 27.5 s/n;metropolitana;Colina;-3.321.605;-7.076.698;72;AC;43;3
ruta 5 norte km.26 poniente 000;metropolitana;Lampa;-3.323.692;-7.075.872;55;AC;43;3
ruta 5 sur km 16.4 s/n;metropolitana;San Bernardo;-3.358.058;-7.071.387;94;AC;43;6
ruta 68 18501;metropolitana;Pudahuel;-3.343.693;-7.083.869;44;AC;22;2
ruta 68 sur km 18.5;metropolitana;Pudahuel;-334.398;-7.084.116;50;DC;50;3
san carlos de apoquindo 2300;metropolitana;Las Condes;-3.340.417;-7.050.836;44;AC;22;2
san eugenio 1602;metropolitana;Nunoa;-3.346.699;-7.062.305;21,78;AC;11;2
san ignacio frente al 951;metropolitana;Quilicura;-3.333.225;-7.070.984;43,56;AC;21,78;2
san isiidro 85;metropolitana;Santiago;-3.344.436;-7.064.454;98;AC;43;3
san pablo 8444;metropolitana;Pudahuel;-3.344.567;-7.074.401;44;AC;22;1
san ramon 2701;metropolitana;Las Condes;-3.340.754;-7.051.114;21,78;AC;11;2
santa isabel 168;metropolitana;Providencia;-3.344.679;-7.062.932;24;DC;24;4
santa maria 5870;metropolitana;Vitacura;-3.338.042;-705.857;14;AC;7;2
santa maria 5888;metropolitana;Vitacura;-3.337.966;-7.058.436;14;AC;7;2
santa rosa 76;metropolitana;Santiago;-3.344.476;-7.064.557;7;AC;7;3
uno sur frente a 0151;metropolitana;San José de Maipo;-3.364.081;-7.035.401;43,56;AC;21,78;2
valdivieso frente al 555;metropolitana;Recoleta;-3.341.387;-7.064.208;44;AC;22;2
victoria subercaseaux 400;metropolitana;Santiago;-3.343.821;-7.064.277;7;AC;7;3
vicuna mackenna 4860;metropolitana;Macul;-3.349.726;-7.061.032;7,4;AC;7,4;4
vicu¿a mackenna 4917;metropolitana;San Joaquín;-3.350.026;-7.061.647;22;AC;22;2
vitacura 3350;metropolitana;Vitacura;-3.340.552;-7.059.834;50;DC;50;3
